experiencia,episodio,passos,recompensa_total,recompensa_descontada,sucesso
Farol_QL_Treino,157,20,81.00,65.233725,1
Farol_QL_Treino,158,16,85.00,72.011671,1
Farol_QL_Treino,159,17,84.00,70.291554,1
Farol_QL_Treino,160,21,80.00,63.581388,1
Farol_QL_Treino,161,28,73.00,52.468543,1
Farol_QL_Treino,162,22,79.00,61.945574,1
Farol_QL_Treino,163,22,79.00,61.945574,1
Farol_QL_Treino,164,31,70.00,47.940075,1
Farol_QL_Treino,165,21,80.00,63.581388,1
Farol_QL_Treino,166,18,83.00,68.588639,1
Farol_QL_Treino,167,23,78.00,60.326118,1
Farol_QL_Treino,168,18,83.00,68.588639,1
Farol_QL_Treino,169,21,80.00,63.581388,1
Farol_QL_Treino,170,19,82.00,66.902752,1
Farol_QL_Treino,171,20,81.00,65.233725,1
Farol_QL_Treino,172,14,87.00,75.504205,1
Farol_QL_Treino,173,25,76.00,57.135628,1
Farol_QL_Treino,174,17,84.00,70.291554,1
Farol_QL_Treino,175,14,87.00,75.504205,1
Farol_QL_Treino,176,22,79.00,61.945574,1
Farol_QL_Treino,177,14,87.00,75.504205,1
Farol_QL_Treino,178,18,83.00,68.588639,1
Farol_QL_Treino,179,20,81.00,65.233725,1
Farol_QL_Treino,180,21,80.00,63.581388,1
Farol_QL_Treino,181,16,85.00,72.011671,1
Farol_QL_Treino,182,14,87.00,75.504205,1
Farol_QL_Treino,183,21,80.00,63.581388,1
Farol_QL_Treino,184,17,84.00,70.291554,1
Farol_QL_Treino,185,14,87.00,75.504205,1
Farol_QL_Treino,186,14,87.00,75.504205,1
Farol_QL_Treino,187,14,87.00,75.504205,1
Farol_QL_Treino,188,17,84.00,70.291554,1
Farol_QL_Treino,189,14,87.00,75.504205,1
Farol_QL_Treino,190,29,72.00,50.943857,1
Farol_QL_Treino,191,27,74.00,54.008629,1
Farol_QL_Treino,192,18,83.00,68.588639,1
Farol_QL_Treino,193,28,73.00,52.468543,1
Farol_QL_Treino,194,14,87.00,75.504205,1
Farol_QL_Treino,195,14,87.00,75.504205,1
Farol_QL_Treino,196,14,87.00,75.504205,1
Farol_QL_Treino,197,24,77.00,58.722857,1
Farol_QL_Treino,198,16,85.00,72.011671,1
Farol_QL_Treino,199,14,87.00,75.504205,1
Farol_QL_Treino,200,16,85.00,72.011671,1
Farol_QL_Treino,201,14,87.00,75.504205,1
Farol_QL_Treino,202,16,85.00,72.011671,1
Farol_QL_Treino,203,14,87.00,75.504205,1
Farol_QL_Treino,204,14,87.00,75.504205,1
Farol_QL_Treino,205,16,85.00,72.011671,1
Farol_QL_Treino,206,20,81.00,65.233725,1
Farol_QL_Treino,207,14,87.00,75.504205,1
Farol_QL_Treino,208,16,85.00,72.011671,1
Farol_QL_Treino,209,23,78.00,60.326118,1
Farol_QL_Treino,210,14,87.00,75.504205,1
Farol_QL_Treino,211,14,87.00,75.504205,1
Farol_QL_Treino,212,14,87.00,75.504205,1
Farol_QL_Treino,213,14,87.00,75.504205,1
Farol_QL_Treino,214,16,85.00,72.011671,1
Farol_QL_Treino,215,14,87.00,75.504205,1
Farol_QL_Treino,216,18,83.00,68.588639,1
Farol_QL_Treino,217,14,87.00,75.504205,1
Farol_QL_Treino,218,16,85.00,72.011671,1
Farol_QL_Treino,219,14,87.00,75.504205,1
Farol_QL_Treino,220,16,85.00,72.011671,1
Farol_QL_Treino,221,16,85.00,72.011671,1
Farol_QL_Treino,222,14,87.00,75.504205,1
Farol_QL_Treino,223,16,85.00,72.011671,1
Farol_QL_Treino,224,25,76.00,57.135628,1
Farol_QL_Treino,225,16,85.00,72.011671,1
Farol_QL_Treino,226,14,87.00,75.504205,1
Farol_QL_Treino,227,14,87.00,75.504205,1
Farol_QL_Treino,228,14,87.00,75.504205,1
Farol_QL_Treino,229,14,87.00,75.504205,1
Farol_QL_Treino,230,14,87.00,75.504205,1
Farol_QL_Treino,231,16,85.00,72.011671,1
Farol_QL_Treino,232,14,87.00,75.504205,1
Farol_QL_Treino,233,14,87.00,75.504205,1
Farol_QL_Treino,234,14,87.00,75.504205,1
Farol_QL_Treino,235,16,85.00,72.011671,1
Farol_QL_Treino,236,16,85.00,72.011671,1
Farol_QL_Treino,237,14,87.00,75.504205,1
Farol_QL_Treino,238,16,85.00,72.011671,1
Farol_QL_Treino,239,14,87.00,75.504205,1
Farol_QL_Treino,240,14,87.00,75.504205,1
Farol_QL_Treino,241,14,87.00,75.504205,1
Farol_QL_Treino,242,14,87.00,75.504205,1
Farol_QL_Treino,243,14,87.00,75.504205,1
Farol_QL_Treino,244,16,85.00,72.011671,1
Farol_QL_Treino,245,14,87.00,75.504205,1
Farol_QL_Treino,246,14,87.00,75.504205,1
Farol_QL_Treino,247,14,87.00,75.504205,1
Farol_QL_Treino,248,14,87.00,75.504205,1
Farol_QL_Treino,249,14,87.00,75.504205,1
Farol_QL_Treino,250,16,85.00,72.011671,1
Farol_QL_Teste,1,14,87.00,75.504205,1
Farol_QL_Teste,2,14,87.00,75.504205,1
Farol_QL_Teste,3,14,87.00,75.504205,1
Farol_QL_Teste,4,14,87.00,75.504205,1
Farol_QL_Teste,5,14,87.00,75.504205,1
Farol_QL_Teste,6,14,87.00,75.504205,1
Farol_QL_Teste,7,14,87.00,75.504205,1
Farol_QL_Teste,8,14,87.00,75.504205,1
Farol_QL_Teste,9,14,87.00,75.504205,1
Farol_QL_Teste,10,14,87.00,75.504205,1
Farol_QL_Teste,11,14,87.00,75.504205,1
Farol_QL_Teste,12,14,87.00,75.504205,1
Farol_QL_Teste,13,14,87.00,75.504205,1
Farol_QL_Teste,14,14,87.00,75.504205,1
Farol_QL_Teste,15,14,87.00,75.504205,1
Farol_QL_Teste,16,14,87.00,75.504205,1
Farol_QL_Teste,17,14,87.00,75.504205,1
Farol_QL_Teste,18,14,87.00,75.504205,1
Farol_QL_Teste,19,14,87.00,75.504205,1
Farol_QL_Teste,20,14,87.00,75.504205,1
Farol_QL_Teste,21,14,87.00,75.504205,1
Farol_QL_Teste,22,14,87.00,75.504205,1
Farol_QL_Teste,23,14,87.00,75.504205,1
Farol_QL_Teste,24,14,87.00,75.504205,1
Farol_QL_Teste,25,14,87.00,75.504205,1
Farol_QL_Teste,26,14,87.00,75.504205,1
Farol_QL_Teste,27,14,87.00,75.504205,1
Farol_QL_Teste,28,14,87.00,75.504205,1
Farol_QL_Teste,29,16,85.00,72.011671,1
Farol_QL_Teste,30,16,85.00,72.011671,1
Farol_QL_Teste,31,14,87.00,75.504205,1
Farol_QL_Teste,32,14,87.00,75.504205,1
Farol_QL_Teste,33,14,87.00,75.504205,1
Farol_QL_Teste,34,14,87.00,75.504205,1
Farol_QL_Teste,35,14,87.00,75.504205,1
Farol_QL_Teste,36,14,87.00,75.504205,1
Farol_QL_Teste,37,14,87.00,75.504205,1
Farol_QL_Teste,38,14,87.00,75.504205,1
Farol_QL_Teste,39,14,87.00,75.504205,1
Farol_QL_Teste,40,14,87.00,75.504205,1
Farol_Greedy_Teste,1,14,87.00,75.504205,1
Farol_Greedy_Teste,2,14,87.00,75.504205,1
Farol_Greedy_Teste,3,14,87.00,75.504205,1
Farol_Greedy_Teste,4,14,87.00,75.504205,1
Farol_Greedy_Teste,5,14,87.00,75.504205,1
Farol_Greedy_Teste,6,14,87.00,75.504205,1
Farol_Greedy_Teste,7,14,87.00,75.504205,1
Farol_Greedy_Teste,8,14,87.00,75.504205,1
Farol_Greedy_Teste,9,14,87.00,75.504205,1
Farol_Greedy_Teste,10,14,87.00,75.504205,1
Farol_Greedy_Teste,11,14,87.00,75.504205,1
Farol_Greedy_Teste,12,14,87.00,75.504205,1
Farol_Greedy_Teste,13,14,87.00,75.504205,1
Farol_Greedy_Teste,14,14,87.00,75.504205,1
Farol_Greedy_Teste,15,14,87.00,75.504205,1
Farol_Greedy_Teste,16,14,87.00,75.504205,1
Farol_Greedy_Teste,17,14,87.00,75.504205,1
Farol_Greedy_Teste,18,14,87.00,75.504205,1
Farol_Greedy_Teste,19,14,87.00,75.504205,1
Farol_Greedy_Teste,20,14,87.00,75.504205,1
Farol_Greedy_Teste,21,14,87.00,75.504205,1
Farol_Greedy_Teste,22,14,87.00,75.504205,1
Farol_Greedy_Teste,23,14,87.00,75.504205,1
Farol_Greedy_Teste,24,14,87.00,75.504205,1
Farol_Greedy_Teste,25,14,87.00,75.504205,1
Farol_Greedy_Teste,26,14,87.00,75.504205,1
Farol_Greedy_Teste,27,14,87.00,75.504205,1
Farol_Greedy_Teste,28,14,87.00,75.504205,1
Farol_Greedy_Teste,29,14,87.00,75.504205,1
Farol_Greedy_Teste,30,14,87.00,75.504205,1
Farol_Greedy_Teste,31,14,87.00,75.504205,1
Farol_Greedy_Teste,32,14,87.00,75.504205,1
Farol_Greedy_Teste,33,14,87.00,75.504205,1
Farol_Greedy_Teste,34,14,87.00,75.504205,1
Farol_Greedy_Teste,35,14,87.00,75.504205,1
Farol_Greedy_Teste,36,14,87.00,75.504205,1
Farol_Greedy_Teste,37,14,87.00,75.504205,1
Farol_Greedy_Teste,38,14,87.00,75.504205,1
Farol_Greedy_Teste,39,14,87.00,75.504205,1
Farol_Greedy_Teste,40,14,87.00,75.504205,1
