experiencia,episodio,passos,recompensa_total,recompensa_descontada,sucesso
Labirinto_Treino,7465,43,54.00,-9.506588,1
Labirinto_Treino,7466,69,32.00,-9.914909,1
Labirinto_Treino,7467,11,90.00,28.354628,1
Labirinto_Treino,7468,103,-22.00,-11.455721,1
Labirinto_Treino,7469,102,-33.00,-13.172217,1
Labirinto_Treino,7470,4,97.00,70.190000,1
Labirinto_Treino,7471,4,97.00,70.190000,1
Labirinto_Treino,7472,8,89.00,39.012659,1
Labirinto_Treino,7473,79,18.00,-11.883518,1
Labirinto_Treino,7474,95,-10.00,-11.412538,1
Labirinto_Treino,7475,32,69.00,-5.803275,1
Labirinto_Treino,7476,87,10.00,-10.098480,1
Labirinto_Treino,7477,10,91.00,32.616254,1
Labirinto_Treino,7478,27,74.00,-2.892810,1
Labirinto_Treino,7479,61,36.00,-10.543537,1
Labirinto_Treino,7480,7,90.00,44.458510,1
Labirinto_Treino,7481,79,10.00,-12.071677,1
Labirinto_Treino,7482,9,92.00,37.351393,1
Labirinto_Treino,7483,37,64.00,-7.521876,1
Labirinto_Treino,7484,28,73.00,-3.603529,1
Labirinto_Treino,7485,65,28.00,-10.748863,1
Labirinto_Treino,7486,11,90.00,28.354628,1
Labirinto_Treino,7487,8,93.00,42.612659,1
Labirinto_Treino,7488,41,60.00,-8.374103,1
Labirinto_Treino,7489,129,-80.00,-10.333247,1
Labirinto_Treino,7490,2,99.00,89.000000,1
Labirinto_Treino,7491,32,61.00,-7.672023,1
Labirinto_Treino,7492,41,56.00,-8.768011,1
Labirinto_Treino,7493,5,96.00,62.171000,1
Labirinto_Treino,7494,58,43.00,-9.728846,1
Labirinto_Treino,7495,9,92.00,37.351393,1
Labirinto_Treino,7496,10,91.00,32.616254,1
Labirinto_Treino,7497,3,98.00,79.100000,1
Labirinto_Treino,7498,49,44.00,-10.641691,1
Labirinto_Treino,7499,49,52.00,-9.300105,1
Labirinto_Treino,7500,101,-16.00,-11.605861,1
Labirinto_Treino,7501,10,91.00,32.616254,1
Labirinto_Treino,7502,65,20.00,-17.338641,1
Labirinto_Treino,7503,11,90.00,28.354628,1
Labirinto_Treino,7504,60,21.00,-16.458715,1
Labirinto_Treino,7505,11,90.00,28.354628,1
Labirinto_Treino,7506,28,73.00,-3.603529,1
Labirinto_Treino,7507,9,88.00,34.111393,1
Labirinto_Treino,7508,37,64.00,-7.521876,1
Labirinto_Treino,7509,11,90.00,28.354628,1
Labirinto_Treino,7510,49,52.00,-9.300105,1
Labirinto_Treino,7511,27,74.00,-2.892810,1
Labirinto_Treino,7512,73,4.00,-12.614957,1
Labirinto_Treino,7513,10,91.00,32.616254,1
Labirinto_Treino,7514,26,67.00,-5.559463,1
Labirinto_Treino,7515,40,53.00,-10.329369,1
Labirinto_Treino,7516,28,65.00,-8.925398,1
Labirinto_Treino,7517,9,92.00,37.351393,1
Labirinto_Treino,7518,10,91.00,32.616254,1
Labirinto_Treino,7519,5,96.00,62.171000,1
Labirinto_Treino,7520,6,95.00,54.953900,1
Labirinto_Treino,7521,6,95.00,54.953900,1
Labirinto_Treino,7522,20,77.00,4.035804,1
Labirinto_Treino,7523,50,35.00,-11.815642,1
Labirinto_Treino,7524,38,55.00,-11.061176,1
Labirinto_Treino,7525,53,36.00,-14.833717,1
Labirinto_Treino,7526,29,72.00,-4.243176,1
Labirinto_Treino,7527,15,86.00,15.164472,1
Labirinto_Treino,7528,21,76.00,0.457432,1
Labirinto_Treino,7529,10,91.00,32.616254,1
Labirinto_Treino,7530,50,43.00,-10.523488,1
Labirinto_Treino,7531,6,95.00,54.953900,1
Labirinto_Treino,7532,27,70.00,-4.442492,1
Labirinto_Treino,7533,17,84.00,10.383222,1
Labirinto_Treino,7534,25,68.00,-6.827651,1
Labirinto_Treino,7535,42,59.00,-8.536693,1
Labirinto_Treino,7536,48,53.00,-9.222338,1
Labirinto_Treino,7537,72,5.00,-13.179905,1
Labirinto_Treino,7538,33,68.00,-6.222948,1
Labirinto_Treino,7539,15,86.00,15.164472,1
Labirinto_Treino,7540,20,81.00,4.859369,1
Labirinto_Treino,7541,1,100.00,100.000000,1
Labirinto_Treino,7542,55,38.00,-9.804871,1
Labirinto_Treino,7543,77,4.00,-11.771718,1
Labirinto_Treino,7544,39,58.00,-9.542402,1
Labirinto_Treino,7545,10,91.00,32.616254,1
Labirinto_Treino,7546,11,90.00,28.354628,1
Labirinto_Treino,7547,88,9.00,-9.996492,1
Labirinto_Treino,7548,10,91.00,32.616254,1
Labirinto_Treino,7549,74,-17.00,-14.361588,1
Labirinto_Treino,7550,5,96.00,62.171000,1
Labirinto_Treino,7551,6,95.00,54.953900,1
Labirinto_Treino,7552,41,56.00,-9.041190,1
Labirinto_Treino,7553,16,85.00,12.648025,1
Labirinto_Treino,7554,53,44.00,-10.935512,1
Labirinto_Treino,7555,55,30.00,-12.070784,1
Labirinto_Treino,7556,5,96.00,62.171000,1
Labirinto_Treino,7557,8,93.00,42.612659,1
Labirinto_Treino,7558,14,87.00,17.960524,1
Labirinto_Treino,7559,14,83.00,15.044524,1
Labirinto_Treino,7560,14,87.00,17.960524,1
Labirinto_Treino,7561,6,95.00,54.953900,1
Labirinto_Treino,7562,10,91.00,32.616254,1
Labirinto_Treino,7563,48,53.00,-9.222338,1
Labirinto_Treino,7564,7,94.00,48.458510,1
Labirinto_Treino,7565,1,100.00,100.000000,1
